Date : 2023-05-27 18:55:57
Directory : /home/mini-k8s
Total : 122 files,  11953 codes, 0 comments, 1728 blanks, all 13681 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| Go               |        118 |     11,158 |          0 |      1,720 |     12,878 |
| Go Checksum File |          1 |        684 |          0 |          1 |        685 |
| Go Module File   |          1 |         96 |          0 |          4 |        100 |
| Go Template File |          1 |         14 |          0 |          2 |         16 |
| pip requirements |          1 |          1 |          0 |          1 |          2 |
+------------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                              | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                 |        122 |     11,953 |          0 |      1,728 |     13,681 |
| . (Files)                                                         |          2 |        780 |          0 |          5 |        785 |
| cmd                                                               |          7 |        135 |          0 |         35 |        170 |
| config                                                            |          1 |         14 |          0 |          5 |         19 |
| pkg                                                               |        106 |     10,633 |          0 |      1,610 |     12,243 |
| pkg/apiobject                                                     |         23 |      1,932 |          0 |        294 |      2,226 |
| pkg/apiobject (Files)                                             |         20 |      1,729 |          0 |        249 |      1,978 |
| pkg/apiobject/utils                                               |          3 |        203 |          0 |         45 |        248 |
| pkg/controller                                                    |          6 |        898 |          0 |        177 |      1,075 |
| pkg/kubeapiserver                                                 |         23 |      3,359 |          0 |        516 |      3,875 |
| pkg/kubeapiserver (Files)                                         |          2 |         12 |          0 |          4 |         16 |
| pkg/kubeapiserver/apimachinery                                    |          2 |        138 |          0 |         23 |        161 |
| pkg/kubeapiserver/handlers                                        |         14 |      2,760 |          0 |        409 |      3,169 |
| pkg/kubeapiserver/storage                                         |          2 |        336 |          0 |         45 |        381 |
| pkg/kubeapiserver/watch                                           |          3 |        113 |          0 |         35 |        148 |
| pkg/kubectl                                                       |         10 |        425 |          0 |         71 |        496 |
| pkg/kubectl (Files)                                               |          1 |          1 |          0 |          0 |          1 |
| pkg/kubectl/cmd                                                   |          5 |        333 |          0 |         52 |        385 |
| pkg/kubectl/test                                                  |          3 |         52 |          0 |         10 |         62 |
| pkg/kubectl/utils                                                 |          1 |         39 |          0 |          9 |         48 |
| pkg/kubedns                                                       |          3 |        151 |          0 |         20 |        171 |
| pkg/kubedns/nginx                                                 |          3 |        151 |          0 |         20 |        171 |
| pkg/kubelet                                                       |         14 |      1,533 |          0 |        142 |      1,675 |
| pkg/kubelet (Files)                                               |          2 |        158 |          0 |         17 |        175 |
| pkg/kubelet/container                                             |          3 |        571 |          0 |         44 |        615 |
| pkg/kubelet/image                                                 |          2 |         82 |          0 |          7 |         89 |
| pkg/kubelet/metricsserver                                         |          2 |         55 |          0 |         12 |         67 |
| pkg/kubelet/pod                                                   |          4 |        625 |          0 |         54 |        679 |
| pkg/kubelet/utils                                                 |          1 |         42 |          0 |          8 |         50 |
| pkg/kubeproxy                                                     |          4 |        308 |          0 |         60 |        368 |
| pkg/kubeproxy (Files)                                             |          2 |        170 |          0 |         34 |        204 |
| pkg/kubeproxy/ipvs                                                |          2 |        138 |          0 |         26 |        164 |
| pkg/kubescheduler                                                 |         11 |        703 |          0 |        128 |        831 |
| pkg/kubescheduler (Files)                                         |          2 |        112 |          0 |         21 |        133 |
| pkg/kubescheduler/filter                                          |          3 |        266 |          0 |         53 |        319 |
| pkg/kubescheduler/policy                                          |          5 |        218 |          0 |         49 |        267 |
| pkg/kubescheduler/testutils                                       |          1 |        107 |          0 |          5 |        112 |
| pkg/serverless                                                    |         12 |      1,324 |          0 |        202 |      1,526 |
| pkg/serverless (Files)                                            |          1 |         10 |          0 |          3 |         13 |
| pkg/serverless/activator                                          |          2 |        340 |          0 |         46 |        386 |
| pkg/serverless/autoscaler                                         |          2 |        134 |          0 |         28 |        162 |
| pkg/serverless/eventfilter                                        |          2 |        205 |          0 |         28 |        233 |
| pkg/serverless/function                                           |          2 |        146 |          0 |         31 |        177 |
| pkg/serverless/imagedata                                          |          1 |          1 |          0 |          1 |          2 |
| pkg/serverless/workflow                                           |          2 |        488 |          0 |         65 |        553 |
| utils                                                             |          6 |        391 |          0 |         73 |        464 |
| utils (Files)                                                     |          4 |        299 |          0 |         52 |        351 |
| utils/resourceutils                                               |          2 |         92 |          0 |         21 |        113 |
+-------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| filename                                                          | language         | code       | comment    | blank      | total      |
+-------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| /home/mini-k8s/cmd/apiserver.go                                   | Go               |          5 |          0 |          3 |          8 |
| /home/mini-k8s/cmd/controller.go                                  | Go               |          5 |          0 |          3 |          8 |
| /home/mini-k8s/cmd/kubectl.go                                     | Go               |         10 |          0 |          3 |         13 |
| /home/mini-k8s/cmd/kubelet.go                                     | Go               |         54 |          0 |         10 |         64 |
| /home/mini-k8s/cmd/kubeproxy.go                                   | Go               |          5 |          0 |          3 |          8 |
| /home/mini-k8s/cmd/scheduler.go                                   | Go               |         51 |          0 |          9 |         60 |
| /home/mini-k8s/cmd/serverless.go                                  | Go               |          5 |          0 |          4 |          9 |
| /home/mini-k8s/config/config.go                                   | Go               |         14 |          0 |          5 |         19 |
| /home/mini-k8s/go.mod                                             | Go Module File   |         96 |          0 |          4 |        100 |
| /home/mini-k8s/go.sum                                             | Go Checksum File |        684 |          0 |          1 |        685 |
| /home/mini-k8s/pkg/apiobject/autoscaler.go                        | Go               |        356 |          0 |         40 |        396 |
| /home/mini-k8s/pkg/apiobject/dnsrecord.go                         | Go               |         39 |          0 |          8 |         47 |
| /home/mini-k8s/pkg/apiobject/dnsrecord_test.go                    | Go               |         10 |          0 |          2 |         12 |
| /home/mini-k8s/pkg/apiobject/doc.go                               | Go               |          1 |          0 |          1 |          2 |
| /home/mini-k8s/pkg/apiobject/endpoint.go                          | Go               |         37 |          0 |          7 |         44 |
| /home/mini-k8s/pkg/apiobject/function.go                          | Go               |         29 |          0 |          6 |         35 |
| /home/mini-k8s/pkg/apiobject/function_test.go                     | Go               |         18 |          0 |          5 |         23 |
| /home/mini-k8s/pkg/apiobject/job.go                               | Go               |         89 |          0 |         13 |        102 |
| /home/mini-k8s/pkg/apiobject/metrics.go                           | Go               |         93 |          0 |         15 |        108 |
| /home/mini-k8s/pkg/apiobject/node.go                              | Go               |        207 |          0 |         23 |        230 |
| /home/mini-k8s/pkg/apiobject/node_test.go                         | Go               |         28 |          0 |          6 |         34 |
| /home/mini-k8s/pkg/apiobject/object.go                            | Go               |         24 |          0 |          7 |         31 |
| /home/mini-k8s/pkg/apiobject/pod.go                               | Go               |        171 |          0 |         25 |        196 |
