Date : 2023-05-27 18:55:57
Directory : /home/mini-k8s
Total : 122 files,  11953 codes, 0 comments, 1728 blanks, all 13681 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| /home/mini-k8s/pkg/apiobject/pod_test.go                          | Go               |         19 |          0 |          6 |         25 |
| /home/mini-k8s/pkg/apiobject/replication.go                       | Go               |        101 |          0 |         16 |        117 |
| /home/mini-k8s/pkg/apiobject/replication_test.go                  | Go               |         23 |          0 |          4 |         27 |
| /home/mini-k8s/pkg/apiobject/service.go                           | Go               |        127 |          0 |         26 |        153 |
| /home/mini-k8s/pkg/apiobject/service_test.go                      | Go               |         44 |          0 |          3 |         47 |
| /home/mini-k8s/pkg/apiobject/utils/duration.go                    | Go               |         41 |          0 |          9 |         50 |
| /home/mini-k8s/pkg/apiobject/utils/quantity.go                    | Go               |         10 |          0 |          6 |         16 |
| /home/mini-k8s/pkg/apiobject/utils/time.go                        | Go               |        152 |          0 |         30 |        182 |
| /home/mini-k8s/pkg/apiobject/workflow.go                          | Go               |        165 |          0 |         26 |        191 |
| /home/mini-k8s/pkg/apiobject/workflow_test.go                     | Go               |        148 |          0 |         10 |        158 |
| /home/mini-k8s/pkg/controller/HPAcontroller.go                    | Go               |        306 |          0 |         42 |        348 |
| /home/mini-k8s/pkg/controller/jobcontroller.go                    | Go               |         93 |          0 |         31 |        124 |
| /home/mini-k8s/pkg/controller/manager.go                          | Go               |         23 |          0 |          8 |         31 |
| /home/mini-k8s/pkg/controller/rscontroller.go                     | Go               |        192 |          0 |         41 |        233 |
| /home/mini-k8s/pkg/controller/svccontroller.go                    | Go               |        189 |          0 |         40 |        229 |
| /home/mini-k8s/pkg/controller/svccontroller_test.go               | Go               |         95 |          0 |         15 |        110 |
| /home/mini-k8s/pkg/kubeapiserver/apimachinery/apiserver.go        | Go               |         98 |          0 |         15 |        113 |
| /home/mini-k8s/pkg/kubeapiserver/apimachinery/routeInstaller.go   | Go               |         40 |          0 |          8 |         48 |
| /home/mini-k8s/pkg/kubeapiserver/doc.go                           | Go               |          1 |          0 |          1 |          2 |
| /home/mini-k8s/pkg/kubeapiserver/handlers/dnshandler.go           | Go               |        254 |          0 |         32 |        286 |
| /home/mini-k8s/pkg/kubeapiserver/handlers/endpointhandler.go      | Go               |        227 |          0 |         32 |        259 |
| /home/mini-k8s/pkg/kubeapiserver/handlers/functionhandler.go      | Go               |        279 |          0 |         43 |        322 |
| /home/mini-k8s/pkg/kubeapiserver/handlers/handlertable.go         | Go               |         57 |          0 |         11 |         68 |
| /home/mini-k8s/pkg/kubeapiserver/handlers/hpahandler.go           | Go               |        269 |          0 |         39 |        308 |
| /home/mini-k8s/pkg/kubeapiserver/handlers/jobhandler.go           | Go               |        226 |          0 |         32 |        258 |
| /home/mini-k8s/pkg/kubeapiserver/handlers/nodehandler.go          | Go               |        126 |          0 |         18 |        144 |
| /home/mini-k8s/pkg/kubeapiserver/handlers/nodehandler_test.go     | Go               |         52 |          0 |         11 |         63 |
| /home/mini-k8s/pkg/kubeapiserver/handlers/podhandler.go           | Go               |        492 |          0 |         61 |        553 |
| /home/mini-k8s/pkg/kubeapiserver/handlers/podhandler_test.go      | Go               |         78 |          0 |         22 |        100 |
| /home/mini-k8s/pkg/kubeapiserver/handlers/replicahandler.go       | Go               |        224 |          0 |         32 |        256 |
| /home/mini-k8s/pkg/kubeapiserver/handlers/routeInstaller.go       | Go               |         32 |          0 |          6 |         38 |
| /home/mini-k8s/pkg/kubeapiserver/handlers/servicehandler.go       | Go               |        227 |          0 |         34 |        261 |
| /home/mini-k8s/pkg/kubeapiserver/handlers/workflowhandler.go      | Go               |        217 |          0 |         36 |        253 |
| /home/mini-k8s/pkg/kubeapiserver/run.go                           | Go               |         11 |          0 |          3 |         14 |
| /home/mini-k8s/pkg/kubeapiserver/storage/ectd_test.go             | Go               |         90 |          0 |         15 |        105 |
| /home/mini-k8s/pkg/kubeapiserver/storage/etcd.go                  | Go               |        246 |          0 |         30 |        276 |
| /home/mini-k8s/pkg/kubeapiserver/watch/list.go                    | Go               |         42 |          0 |         16 |         58 |
| /home/mini-k8s/pkg/kubeapiserver/watch/watch.go                   | Go               |         66 |          0 |         15 |         81 |
| /home/mini-k8s/pkg/kubeapiserver/watch/watchtable.go              | Go               |          5 |          0 |          4 |          9 |
| /home/mini-k8s/pkg/kubectl/cmd/apply.go                           | Go               |         47 |          0 |          8 |         55 |
| /home/mini-k8s/pkg/kubectl/cmd/delete.go                          | Go               |         37 |          0 |          7 |         44 |
| /home/mini-k8s/pkg/kubectl/cmd/describe.go                        | Go               |         55 |          0 |         12 |         67 |
| /home/mini-k8s/pkg/kubectl/cmd/get.go                             | Go               |        167 |          0 |         15 |        182 |
| /home/mini-k8s/pkg/kubectl/cmd/root.go                            | Go               |         27 |          0 |         10 |         37 |
| /home/mini-k8s/pkg/kubectl/doc.go                                 | Go               |          1 |          0 |          0 |          1 |
| /home/mini-k8s/pkg/kubectl/test/http.go                           | Go               |         17 |          0 |          3 |         20 |
| /home/mini-k8s/pkg/kubectl/test/http_test.go                      | Go               |         17 |          0 |          3 |         20 |
| /home/mini-k8s/pkg/kubectl/test/kubectl_test.go                   | Go               |         18 |          0 |          4 |         22 |
| /home/mini-k8s/pkg/kubectl/utils/utils.go                         | Go               |         39 |          0 |          9 |         48 |
| /home/mini-k8s/pkg/kubedns/nginx/nginx.tmpl                       | Go Template File |         14 |          0 |          2 |         16 |
| /home/mini-k8s/pkg/kubedns/nginx/nginxeditor.go                   | Go               |         83 |          0 |         14 |         97 |
| /home/mini-k8s/pkg/kubedns/nginx/nginxeditor_test.go              | Go               |         54 |          0 |          4 |         58 |
| /home/mini-k8s/pkg/kubelet/container/container.go                 | Go               |        245 |          0 |         17 |        262 |
| /home/mini-k8s/pkg/kubelet/container/container_test.go            | Go               |        262 |          0 |         15 |        277 |
| /home/mini-k8s/pkg/kubelet/container/containerutil.go             | Go               |         64 |          0 |         12 |         76 |
| /home/mini-k8s/pkg/kubelet/image/image.go                         | Go               |         52 |          0 |          4 |         56 |
| /home/mini-k8s/pkg/kubelet/image/image_test.go                    | Go               |         30 |          0 |          3 |         33 |
| /home/mini-k8s/pkg/kubelet/kubelet.go                             | Go               |        133 |          0 |         13 |        146 |
| /home/mini-k8s/pkg/kubelet/metricsserver/handler.go               | Go               |         27 |          0 |          6 |         33 |
| /home/mini-k8s/pkg/kubelet/metricsserver/metricserver.go          | Go               |         28 |          0 |          6 |         34 |
| /home/mini-k8s/pkg/kubelet/pod/pod.go                             | Go               |        246 |          0 |         28 |        274 |
| /home/mini-k8s/pkg/kubelet/pod/pod_test.go                        | Go               |        312 |          0 |         16 |        328 |
| /home/mini-k8s/pkg/kubelet/pod/podutil.go                         | Go               |         38 |          0 |          5 |         43 |
| /home/mini-k8s/pkg/kubelet/pod/podutil_test.go                    | Go               |         29 |          0 |          5 |         34 |
| /home/mini-k8s/pkg/kubelet/run.go                                 | Go               |         25 |          0 |          4 |         29 |
| /home/mini-k8s/pkg/kubelet/utils/helper.go                        | Go               |         42 |          0 |          8 |         50 |
| /home/mini-k8s/pkg/kubeproxy/ipvs/ops.go                          | Go               |        124 |          0 |         21 |        145 |
| /home/mini-k8s/pkg/kubeproxy/ipvs/state.go                        | Go               |         14 |          0 |          5 |         19 |
| /home/mini-k8s/pkg/kubeproxy/proxy.go                             | Go               |        128 |          0 |         28 |        156 |
| /home/mini-k8s/pkg/kubeproxy/proxy_test.go                        | Go               |         42 |          0 |          6 |         48 |
| /home/mini-k8s/pkg/kubescheduler/doc.go                           | Go               |          1 |          0 |          1 |          2 |
| /home/mini-k8s/pkg/kubescheduler/filter/configfilter.go           | Go               |        177 |          0 |         24 |        201 |
| /home/mini-k8s/pkg/kubescheduler/filter/configfilter_test.go      | Go               |         80 |          0 |         26 |        106 |
| /home/mini-k8s/pkg/kubescheduler/filter/templatefilter.go         | Go               |          9 |          0 |          3 |         12 |
| /home/mini-k8s/pkg/kubescheduler/policy/lrscheduler.go            | Go               |         54 |          0 |          9 |         63 |
| /home/mini-k8s/pkg/kubescheduler/policy/lrscheduler_test.go       | Go               |         41 |          0 |          9 |         50 |
| /home/mini-k8s/pkg/kubescheduler/policy/resourcescheduler.go      | Go               |         61 |          0 |         12 |         73 |
| /home/mini-k8s/pkg/kubescheduler/policy/resourcescheduler_test.go | Go               |         46 |          0 |         13 |         59 |
| /home/mini-k8s/pkg/kubescheduler/policy/templatescheduler.go      | Go               |         16 |          0 |          6 |         22 |
| /home/mini-k8s/pkg/kubescheduler/run.go                           | Go               |        111 |          0 |         20 |        131 |
| /home/mini-k8s/pkg/kubescheduler/testutils/builder.go             | Go               |        107 |          0 |          5 |        112 |
| /home/mini-k8s/pkg/serverless/activator/deploy.go                 | Go               |        314 |          0 |         37 |        351 |
| /home/mini-k8s/pkg/serverless/activator/deploy_test.go            | Go               |         26 |          0 |          9 |         35 |
| /home/mini-k8s/pkg/serverless/autoscaler/metric.go                | Go               |        101 |          0 |         14 |        115 |
| /home/mini-k8s/pkg/serverless/autoscaler/record.go                | Go               |         33 |          0 |         14 |         47 |
| /home/mini-k8s/pkg/serverless/eventfilter/functionwatcher.go      | Go               |        140 |          0 |         19 |        159 |
| /home/mini-k8s/pkg/serverless/eventfilter/workflowwatcher.go      | Go               |         65 |          0 |          9 |         74 |
| /home/mini-k8s/pkg/serverless/function/image.go                   | Go               |        117 |          0 |         23 |        140 |
| /home/mini-k8s/pkg/serverless/function/image_test.go              | Go               |         29 |          0 |          8 |         37 |
| /home/mini-k8s/pkg/serverless/imagedata/requirements.txt          | pip requirements |          1 |          0 |          1 |          2 |
| /home/mini-k8s/pkg/serverless/run.go                              | Go               |         10 |          0 |          3 |         13 |
| /home/mini-k8s/pkg/serverless/workflow/workflowexecutor.go        | Go               |        229 |          0 |         38 |        267 |
| /home/mini-k8s/pkg/serverless/workflow/workflowexecutor_test.go   | Go               |        259 |          0 |         27 |        286 |
| /home/mini-k8s/utils/client.go                                    | Go               |        140 |          0 |         19 |        159 |
| /home/mini-k8s/utils/http.go                                      | Go               |         53 |          0 |         11 |         64 |
| /home/mini-k8s/utils/rand.go                                      | Go               |         88 |          0 |         13 |        101 |
| /home/mini-k8s/utils/resourceutils/unit.go                        | Go               |         66 |          0 |         15 |         81 |
| /home/mini-k8s/utils/resourceutils/unit_test.go                   | Go               |         26 |          0 |          6 |         32 |
| /home/mini-k8s/utils/utils.go                                     | Go               |         18 |          0 |          9 |         27 |
| Total                                                             |                  |     11,953 |          0 |      1,728 |     13,681 |
+-------------------------------------------------------------------+------------------+------------+------------+------------+------------+
